time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MLTrader,0b7d49619a9b4bc1b6eba4594450c444,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,0b7d49619a9b4bc1b6eba4594450c444,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,bd8cffe4494d427f8efea90aab99f2e9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,d25b5e6da92846ecbc7af5a7784106bb,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,91f866fcbaa44819bede8cf202217f8e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,91f866fcbaa44819bede8cf202217f8e,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,119.0,0.0
2023-04-26 09:30:00-04:00,MLTrader,13013a6d740a4a44b72d0fd7c371cd93,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-26 09:30:00-04:00,MLTrader,13013a6d740a4a44b72d0fd7c371cd93,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,104.44999694824219,700.0,0.0
2023-05-05 09:30:00-04:00,MLTrader,36a1ad694f88455689eaa4b19e9deded,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MLTrader,36a1ad694f88455689eaa4b19e9deded,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.97999572753906,214.0,0.0
2023-05-18 09:30:00-04:00,MLTrader,8576d8d3770c4bf4ac023085e9b0bba8,GOOGL,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-05-18 09:30:00-04:00,MLTrader,c4e492b9cc854d5baa77bb8b273f4f39,GOOGL,sell,limit,fill,1,day,0.0,1,stock,125.33999633789062,700.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,413b5473ff1c4c308f1d5de6b63f8cd1,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,b2302d12fd6c4744abc824e40f2a9bd5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,7fb8f81973c74ac39d785d4f482e338f,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,1ad113befe954e4e8ff8a6cd3e764473,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,8d98609483744ce8b18473298b55f5d3,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,f16e6a32bcb54a2ca2d79ae291fc20c1,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,083de6c26051440b983364856933c99f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,8d98609483744ce8b18473298b55f5d3,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,119.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,f16e6a32bcb54a2ca2d79ae291fc20c1,AAPL,sell,market,fill,1,day,0.0,1,stock,178.44000244140625,214.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,083de6c26051440b983364856933c99f,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,145.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,c666e017142341b0907180ecdc0835a5,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,9e0464d8483345d6b7cff112cdd1d70d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,2217374766e64a1bb9ccb7eed0ddfec2,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,54baa20863174cc38f31e70086ff6258,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,2217374766e64a1bb9ccb7eed0ddfec2,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,145.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,54baa20863174cc38f31e70086ff6258,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,57.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,5aec0f82edec4dd79ea96e28745ef05e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,5aec0f82edec4dd79ea96e28745ef05e,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,156.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,20d69c5e575a4898af83db269ff91366,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
