time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MLTrader,3eaf81988f87407ca7fa38c9687ae1ae,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,3eaf81988f87407ca7fa38c9687ae1ae,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,6f46be19816e44ad8ec95e83940c2f4e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,a040277616194726a41945537e119710,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,e0ea1bb6a5bc4012b7f9c1091c590dba,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,e0ea1bb6a5bc4012b7f9c1091c590dba,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,119.0,0.0
2023-04-26 09:30:00-04:00,MLTrader,523b8b16b285462081081574e2225f27,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-26 09:30:00-04:00,MLTrader,523b8b16b285462081081574e2225f27,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,104.44999694824219,700.0,0.0
2023-05-05 09:30:00-04:00,MLTrader,4c2b2f3436054b98953aa68e85a8ced6,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MLTrader,4c2b2f3436054b98953aa68e85a8ced6,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.97999572753906,214.0,0.0
2023-05-18 09:30:00-04:00,MLTrader,3a439a96a7894a62af3de583d52ce0c7,GOOGL,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-05-18 09:30:00-04:00,MLTrader,e0b7d2f674bf4e98afe85f1ad952d618,GOOGL,sell,limit,fill,1,day,0.0,1,stock,125.33999633789062,700.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,113bd8839a4b4f98bfa1497439c0073b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,ec7ddf537439406488f56384b9aeab3d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,982a97c10d5741aa9840e666f368354b,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,1dd002d0ad7240849769ee7101038f54,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,321f92fce46344aa92251402caf3bc66,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,945c54d32add4832b768b1b627752309,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,ec879bfcad0e4a50918a780f09a2ed02,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
